MMSI,NAVSTATUS,ROT,SOG,LAT,LON,COG,TRUE_HEADING,DATETIME,IMO,VESSELNAME,VESSELTYPEINT,SHIPLENGTH,SHIPWIDTH,BOW,STERN,PORT,STARBOARD,DRAUGHT,DESTINATION,CALLSIGN,POSACCURACY,ETA,POSFIXTYPE
636013199,0,2.856978453,0.3,-33.02881667,-71.62738333,318,170,1330607131,8908090,SEABOARD RELIANCE   ,79,170,13,138,32,2,11,100,VALPARAISO          ,A8LI2  ,0,-1,-1
636013199,0,6.42820152,0.3,-33.02886667,-71.62733333,291,165,1330607068,8908090,SEABOARD RELIANCE   ,79,170,13,138,32,2,11,100,VALPARAISO          ,A8LI2  ,0,-1,-1
636013199,0,6.42820152,0.4,-33.0289,-71.6273,283,163,1330607049,8908090,SEABOARD RELIANCE   ,79,170,13,138,32,2,11,100,VALPARAISO          ,A8LI2  ,0,-1,-1
636013199,0,0,1.3,-33.02926667,-71.62691667,328,154,1330606869,8908090,SEABOARD RELIANCE   ,79,170,13,138,32,2,11,100,VALPARAISO          ,A8LI2  ,0,-1,-1
636013199,0,2812.382805,1.4,-33.02966667,-71.62671667,337,156,1330606809,8908090,SEABOARD RELIANCE   ,79,170,13,138,32,2,11,100,VALPARAISO          ,A8LI2  ,0,-1,-1
636013199,0,0,1.4,-33.02975,-71.62668333,334,156,1330606797,8908090,SEABOARD RELIANCE   ,79,170,13,138,32,2,11,100,VALPARAISO          ,A8LI2  ,0,-1,-1
636013199,0,3.615863355,1.3,-33.03008333,-71.62655,348,155,1330606737,8908090,SEABOARD RELIANCE   ,79,170,13,138,32,2,11,100,VALPARAISO          ,A8LI2  ,0,-1,-1
636013199,0,0,1.2,-33.03036667,-71.62645,341,153,1330606687,8908090,SEABOARD RELIANCE   ,79,170,13,138,32,2,11,100,VALPARAISO          ,A8LI2  ,0,-1,-1
636013199,0,2614.313846,1.2,-33.03098333,-71.62603333,332,168,1330606557,8908090,SEABOARD RELIANCE   ,79,170,13,138,32,2,11,100,VALPARAISO          ,A8LI2  ,0,-1,-1
636013199,0,0,1,-33.03121667,-71.62595,345,172,1330606509,8908090,SEABOARD RELIANCE   ,79,170,13,138,32,2,11,100,VALPARAISO          ,A8LI2  ,0,-1,-1
636013199,0,2812.382805,1,-33.03115,-71.62593333,338,172,1330606529,8908090,SEABOARD RELIANCE   ,79,170,13,138,32,2,11,100,VALPARAISO          ,A8LI2  ,0,-1,-1
636013199,0,2.187374128,1.1,-33.03155,-71.62581667,327,169,1330606438,8908090,SEABOARD RELIANCE   ,79,170,13,138,32,2,11,100,VALPARAISO          ,A8LI2  ,0,-1,-1
636013199,0,2657.704206,1.4,-33.03173333,-71.62556667,305,170,1330606388,8908090,SEABOARD RELIANCE   ,79,170,13,138,32,2,11,100,VALPARAISO          ,A8LI2  ,0,-1,-1
636013199,0,2549.89791,1.5,-33.03186667,-71.6253,299,177,1330606350,8908090,SEABOARD RELIANCE   ,79,170,13,138,32,2,11,100,VALPARAISO          ,A8LI2  ,0,-1,-1
636013199,0,2528.604492,1.5,-33.032,-71.62511667,296,184,1330606320,8908090,SEABOARD RELIANCE   ,79,170,13,138,32,2,11,100,VALPARAISO          ,A8LI2  ,0,-1,-1
636013199,0,2507.400355,1.5,-33.032,-71.62508333,299,185,1330606316,8908090,SEABOARD RELIANCE   ,79,170,13,138,32,2,11,100,VALPARAISO          ,A8LI2  ,0,-1,-1
636013199,0,2507.400355,1.5,-33.03201667,-71.62506667,297,186,1330606312,8908090,SEABOARD RELIANCE   ,79,170,13,138,32,2,11,100,VALPARAISO          ,A8LI2  ,0,-1,-1
636013199,0,2486.285499,1.6,-33.03203333,-71.62503333,294,187,1330606308,8908090,SEABOARD RELIANCE   ,79,170,13,138,32,2,11,100,VALPARAISO          ,A8LI2  ,0,-1,-1
636013199,0,2507.400355,1.7,-33.03205,-71.62498333,295,188,1330606302,8908090,SEABOARD RELIANCE   ,79,170,13,138,32,2,11,100,VALPARAISO          ,A8LI2  ,0,-1,-1
636013199,0,2444.323628,1.8,-33.03215,-71.62473333,295,197,1330606277,8908090,SEABOARD RELIANCE   ,79,170,13,138,32,2,11,100,VALPARAISO          ,A8LI2  ,0,-1,-1
636013199,0,2423.476613,1.8,-33.03216667,-71.6247,295,198,1330606271,8908090,SEABOARD RELIANCE   ,79,170,13,138,32,2,11,100,VALPARAISO          ,A8LI2  ,0,-1,-1
636013199,0,2402.718879,2,-33.0322,-71.6246,295,203,1330606262,8908090,SEABOARD RELIANCE   ,79,170,13,138,32,2,11,100,VALPARAISO          ,A8LI2  ,0,-1,-1
