Country (Area)	Seaport	Lat	Lon
SY	Lattakia	35.5215	35.7924
SY	Tartous	34.8833	35.8833
TU	Istanbul	41.0053	28.977
TU	Izmir	38.4189	27.1287
TU	Mersin	36.8	34.6333
AE	Abu Dhabi	24.4667	54.3667
AE	Dubai	25.2711	55.3075
AE	Sharjah	25.3575	55.3919
YM	Aden	12.8	45.0333
YM	Hodeidah	14.8022	42.9511
AL	Durrés	41.3167	19.45
AJ	Baku	40.435	49.8676
BU	Bourgas (Burgess)	42.4977	27.47
BU	Varna	43.2166	27.9118
HR	Rijeka	45.3271	14.4422
HR	Split	43.5081	16.4402
EN	Tallinn	59.4427	24.7532
GG	Batumi	41.6386	41.6372
GG	Sukhumi	43.0073	40.9892
LG	Riga	56.9462	24.1043
LH	Klaipeda	55.7108	21.1318
PL	Gdansk	54.352	18.6466
PL	Gdynia	54.5189	18.5305
PL	Szczecin	53.4285	14.5528
RO	Constantza	44.1733	28.6383
RS	Nachodka	42.8167	132.8833
RS	Murmansk	68.9416	33.0738
RS	St. Petersburg	60.0762	30.1214
RS	Arkhangelsk (Archangels)	64.5333	40.5333
RS	Vladivostok	43.1667	131.9333
SI	Koper	45.5483	13.7312
UP	Illichevsk	46.3055	30.6622
UP	Odessa	46.4846	30.7326
SR	Kotor (Cattaro)	46.0508	20.0431
BE	Antwerp	51.2192	4.4029
BE	Ghent	51.0535	3.7304
BE	Ostend	51.2167	2.9
BE	Zeebrugge	51.3301	3.2014
#Channel Islands	St. Helier	49.2167	-2.1325
#	St. Peter Port	49.5	-2.5
CY	Larnaca	34.9167	33.6333
CY	Limassol	34.7071	33.0226
DA	Aarhus	56.1629	10.2039
DA	Copenhagen	55.6761	12.5683
DA	Esbjerg	55.4765	8.4594
DA	Odense	55.4038	10.4024
FI	Helsinki	60.1666	24.9436
FI	Kotka	60.4666	26.946
FI	Rauma	61.1281	21.511
FI	Turku	60.4492	22.2592
FR	Bordeaux	44.8378	-0.5792
FR	Calais	50.9513	1.8587
FR	Dunkirk	51.0346	2.3752
FR	Le Havre	49.4944	0.1079
FR	Marseilles	43.2965	5.3698
FR	Paris	48.8566	2.3522
FR	Sete	43.4022	3.6966
GM	Bremen	53.0793	8.8017
GM	Bremerhaven	53.55	8.583
GM	Hamburg	53.5511	9.9937
GM	Kiel	54.3233	10.1228
GM	Rostock	54.0834	12.1004
GI	Gibraltar	36.1449	-5.3533
GR	Piraeus	37.9476	23.6418
GR	Thessaloniki (Salonika)	40.6394	22.9446
IC	Reykjavik	64.1353	-21.8952
EI	Cork	51.8969	-8.4863
EI	Dublin	53.3494	-6.2601
EI	Waterford	52.2527	-7.1256
#Isle of Man	Douglas	54.152	-4.4852
IT	Genoa	44.4057	8.9463
IT	La Spezia	44.1025	9.8241
IT	Leghorn (Livorno)	43.5293	10.3722
IT	Naples	40.8518	14.2681
IT	Palermo	38.1157	13.3613
IT	Trieste	45.6495	13.778
IT	Venice	45.4408	12.3155
MT	Valletta	35.8978	14.5141
NL	Amsterdam	52.3702	4.8952
NL	Rotterdam	51.9242	4.4818
NO	Aalesund	62.4722	6.1495
NO	Bergen	60.3913	5.3221
NO	Drammen	59.7441	10.2045
NO	Kristiansand	58.1509	7.9962
NO	Oslo	59.9139	10.7522
NO	Stavanger	58.97	5.7331
PO	Leixoes	41.1872	-8.6904
PO	Lisbon	38.7238	-9.1398
PO	Oporto	41.1651	-8.6028
PO	Setubal	38.5243	-8.8879
SP	Algeciras	36.1298	-5.4477
SP	Alicante	38.3452	-0.481
SP	Barcelona	41.3879	2.1699
SP	Bilbao	43.257	-2.9234
SP	Cadiz	36.5297	-6.2927
SP	Las Palmas	28.1248	-15.43
SP	Valencia	39.4702	-0.3768
SW	Gothenburg	57.7089	11.9746
SW	Helsingborg	56.0465	12.6945
SW	Malmo	55.605	13.0038
SW	Stockholm	59.329	18.0649
UK	Aberdeen	57.1497	-2.0943
UK	Belfast	54.5974	-5.9341
UK	Cardiff	51.4816	-3.1791
UK	Clyde Ports	55.9438	-4.6295
UK	Glasgow	55.8642	-4.2518
UK	Felixstowe	51.9617	1.3513
UK	Forth Ports	55.9784	-3.1677
UK	Grangemouth	56.0097	-3.7228
UK	Grimsby	53.5675	-0.0808
UK	Hull	53.7457	-0.3367
UK	Liverpool	53.4084	-2.9916
UK	London	51.5073	-0.1277
UK	Manchester	53.4793	-2.2479
UK	Southampton	50.9097	-1.4044
