MMSI,NAVSTATUS,ROT,SOG,POSACCURACY,LON,LAT,COG,HEADING,REPORTTIME,IMO,CALLSIGN,NAME,SHIPTYPE,LENGTH,BREADTH,BOW,STERN,PORT,STARBOARD,FIXINGDEVICE,ETA,DEPTH,DESTINATION,MMSI,NAVSTATUS,ROT,SOG,POSACCURACY,LON,LAT,COG,HEADING,REPORTTIME,IMO,CALLSIGN,NAME,SHIPTYPE,LENGTH,BREADTH,BOW,STERN,PORT,STARBOARD,FIXINGDEVICE,ETA,DEPTH,DESTINATION
224971000,5,-128,0.1,0,-5.797162,35.787727,308,142,07-MAY-07 11.42.20 AM,9216846,EBWL,Focs Tenerife,7,128,21,0,0,0,0,0,05/08 - 07.30,6.2,Cartagena,224971000,5,-128,1,0,-5.797162,35.787727,3080,142,07-MAY-07 11.42.20 AM,9216846,EBWL,Focs Tenerife,7,128,21,0,0,0,0,0,05/08 - 07.30,6.2,Cartagena
538090288,0,-128,19.5,0,-5.14504,36.046021,258,258,07-MAY-07 11.42.24 AM,9225421,V7MA2,Maersk Itajai,7,194,28,0,0,0,0,0,05/16 - 20.00,8.7,Panama Canal,538090288,0,-128,195,0,-5.14504,36.046021,2580,258,07-MAY-07 11.42.24 AM,9225421,V7MA2,Maersk Itajai,7,194,28,0,0,0,0,0,05/16 - 20.00,8.7,Panama Canal
224570000,0,-128,13.4,0,-4.21826,36.163792,260,285,07-MAY-07 11.41.49 AM,8522315,EASZ,Gema B,7,165,23,0,0,0,0,0,05/09 - 21.00,8.6,Tenerife,224570000,0,-128,134,0,-4.21826,36.163792,2600,285,07-MAY-07 11.41.49 AM,8522315,EASZ,Gema B,7,165,23,0,0,0,0,0,05/09 - 21.00,8.6,Tenerife
242024000,0,-128,0,0,-5.803062,35.790917,0,257,07-MAY-07 11.42.25 AM,7360629,CNA3663,Al Mansour,6,120,20,0,0,0,0,0,03/25 - 15.45,5.2,Algeciras tanger,242024000,0,-128,0,0,-5.803062,35.790917,0,257,07-MAY-07 11.42.25 AM,7360629,CNA3663,Al Mansour,6,120,20,0,0,0,0,0,03/25 - 15.45,5.2,Algeciras tanger
319619000,0,-128,0.1,0,-5.35612,36.149477,117,267,07-MAY-07 11.42.29 AM,9334478,ZCOR3,Nice N Easy,0,48,10,0,0,0,0,0,05/06 - 20.00,2.4,Gibraltar,319619000,0,-128,1,0,-5.35612,36.149477,1170,267,07-MAY-07 11.42.29 AM,9334478,ZCOR3,Nice N Easy,0,48,10,0,0,0,0,0,05/06 - 20.00,2.4,Gibraltar
224783000,0,-128,0,0,-5.431067,36.132699,-1,5,07-MAY-07 11.41.58 AM,9320116,ECII,Miguel De Cervantes,51,56,15,0,0,0,0,0,04/28 - 17.30,6.4,Algeciras,224783000,0,-128,0,0,-5.431067,36.132699,-10,5,07-MAY-07 11.41.58 AM,9320116,ECII,Miguel De Cervantes,51,56,15,0,0,0,0,0,04/28 - 17.30,6.4,Algeciras
236254000,0,-128,0.3,0,-5.365853,36.120973,169,167,07-MAY-07 11.42.27 AM,8111257,ZDGJ8,Aegean Tulip,8,90,16,0,0,0,0,0,09/12 - 16.00,6.1,Gibraltar,236254000,0,-128,3,0,-5.365853,36.120973,1690,167,07-MAY-07 11.42.27 AM,8111257,ZDGJ8,Aegean Tulip,8,90,16,0,0,0,0,0,09/12 - 16.00,6.1,Gibraltar
242052000,8,-128,0.1,0,-5.802954,35.789289,288,255,07-MAY-07 11.42.06 AM,7361049,CNA3863,Cf Atlas,1,115,18,0,0,0,0,0,05/07 - 02.40,4.4,Algeciras,242052000,8,-128,1,0,-5.802954,35.789289,2880,255,07-MAY-07 11.42.06 AM,7361049,CNA3863,Cf Atlas,1,115,18,0,0,0,0,0,05/07 - 02.40,4.4,Algeciras
248026000,0,-128,12.1,0,-4.784576,36.047305,80,83,07-MAY-07 11.41.47 AM,8124840,9HOO5,Minoan Hope,7,224,32,0,0,0,0,0,05/13 - 08.00,12.1,Suez,248026000,0,-128,121,0,-4.784576,36.047305,800,83,07-MAY-07 11.41.47 AM,8124840,9HOO5,Minoan Hope,7,224,32,0,0,0,0,0,05/13 - 08.00,12.1,Suez
308664000,0,-128,12.6,0,-5.504072,35.981768,252,252,07-MAY-07 11.41.53 AM,9321964,C6VR8,Oklahoma,8,238,42,0,0,0,0,0,05/10 - 22.30,12.5,Fawley,308664000,0,-128,126,0,-5.504072,35.981768,2520,252,07-MAY-07 11.41.53 AM,9321964,C6VR8,Oklahoma,8,238,42,0,0,0,0,0,05/10 - 22.30,12.5,Fawley
